Date,Masse monétaire (M3),Crédit bancaire,Secteur privé,Sociétés non financières privées,"Comptes débiteurs et crédits de trésorerie (déflaté, réel)","Primes versées (MDH) (déflaté, réel)"
2022-02-01,1466380.4533459002,907008.0828463715,722768.0237511782,375134.1116870876,202429.954,
2022-03-01,1463436.910185185,915255.4062962963,717030.3360185184,374156.28425925924,203994.895,
2022-04-01,1431851.1119199272,891804.9012738854,711406.4803457689,373311.01319381257,209107.926,13068.1529
2022-05-01,1433899.3629764065,893516.462522686,716586.6950998184,378039.1014519056,210913.4989,
2022-06-01,1452321.3853790616,927457.695397112,724216.8985559568,385288.09783393505,219138.2071,
2022-07-01,1438174.7236135958,904422.421824687,721663.8263864043,384829.53998211096,221790.0665,11121.288
2022-08-01,1447697.4228367528,905469.0001784121,723630.8586083854,387649.1443354148,222950.7017,
2022-09-01,1426262.962014134,915603.260335689,721808.2091872791,388138.26634275616,229607.9808,
2022-10-01,1426825.9780123131,907321.299648197,721592.7897977133,387549.46886543534,229924.6509,11032.4538
2022-11-01,1450026.4667250437,896774.1768826619,713119.4988616462,379081.51208406297,221132.7825,
2022-12-01,1474928.1811023622,926470.1343832021,717446.3797025372,393767.50323709537,224316.1792,
2023-01-01,1476672.449956484,899331.1669277633,705558.9475195822,382330.35778938205,217876.445,14457.0931
2023-02-01,1451047.7089041097,882030.8264554795,689713.3413527397,371627.1119863014,209525.7724,
2023-03-01,1450669.9144568006,889521.6233532934,689317.5200171086,370278.9485885372,207757.204,
2023-04-01,1432858.829535865,873720.892742616,683150.3277637131,367913.74489451473,204455.9569,12182.0253
2023-05-01,1446214.9355932204,889686.129661017,693920.38,376440.633220339,207762.468,
2023-06-01,1481402.4311377245,920983.90427716,704655.3212147134,383178.7982035928,214104.3819,
2023-07-01,1468076.3435635122,906925.3290707588,698071.9612105711,377839.8398976982,209430.1169,10153.6232
2023-08-01,1471212.8742565846,901720.8401019542,691219.3395072217,371880.26236193714,202645.4311,
2023-09-01,1462630.1769165965,913936.6968828981,692145.2033698399,375267.8336141533,205142.7858,
2023-10-01,1458793.1458684655,912127.9672006745,693391.005227656,376294.62107925804,211315.7444,11852.4452
2023-11-01,1469736.9281487742,911967.6979712595,693204.5061707522,374116.118512257,209763.0017,
2023-12-01,1482083.4822335027,943703.334856176,700772.165820643,381199.9150592217,214964.5521,
2024-01-01,1485782.2774468085,927655.360255319,692413.8162553192,370748.1604255319,205037.1756,14676.5106
2024-02-01,1500397.1015358362,929226.7105802048,694894.3520477816,369634.77747440274,202294.4166,
2024-03-01,1500568.3567796613,939183.1417796611,696677.191101695,373470.8204237288,209280.8014,
2024-04-01,1491559.8239258635,924606.9600673968,689686.6089300758,368155.7122999157,204850.103,12761.1626
2024-05-01,1501540.7443037974,925650.4792405062,694462.6281856541,368157.129535865,203981.1993,
2024-06-01,1521878.754621849,933422.9265546219,697827.2115966387,372370.476302521,203469.0551,
2024-07-01,1540527.175084175,935614.5655723906,704761.6968013468,378083.85193602694,212897.0725,10422.7273
2024-08-01,1528224.582289056,921195.5056808688,699330.1011695906,373813.050877193,206599.5164,
2024-09-01,1546553.5538847118,949791.7213868003,703474.8657477025,377120.41228070174,214673.3634,
2024-10-01,1546014.0067001674,938947.8567001676,704391.4010887772,375088.0561976549,212450.3469,12314.7404
2024-11-01,1557346.83557047,941727.64102349,705365.9317953021,375162.1384228188,211122.9398,
2024-12-01,1589948.9277310926,978682.595210084,712334.8612605042,380763.30647058826,214936.9001,
2025-01-01,1556616.6864053376,945414.6979983319,698755.384737281,367514.94820683904,203034.6372,15168.2235
2025-02-01,1559065.7980049874,940355.7163757273,696396.3164588528,365828.3975893599,201831.3891,
2025-03-01,1594438.783152627,971610.5259382818,706274.1224353627,373179.24670558795,213868.3192,
2025-04-01,1586183.470292887,968011.0571548116,710542.9655230126,373699.3819246862,209353.2194,13993.3054
2025-05-01,1611079.73697479,962529.31394958,718598.959579832,377199.36361344537,202149.8459,
2025-06-01,1637099.6903765688,982704.7331380753,722951.9839330544,381824.9318828451,207022.1234,
