equation,type,predicteur,retard,coefficient
Industrie d'extraction,A_l,Pêche,1,0.024238784862718982
Industrie d'extraction,A_l,Industrie d'extraction,1,0.0012841818612493428
Industrie d'extraction,A_l,Construction,1,0.005729654473907138
Industrie d'extraction,A_l,Information-communication,1,-0.016469575546027924
Industrie d'extraction,A_l,Immobilier,1,-0.011919089964325584
Industrie d'extraction,A_l,Agriculture,1,-0.01260964404468833
Industrie d'extraction,A_l,Commerce,1,0.06754807694197897
Industrie d'extraction,A_l,Transports,1,0.032676261255345805
Industrie d'extraction,A_l,"Électricité, gaz, eau",1,-0.030388195063169463
Industrie d'extraction,A_l,Services aux entreprises,1,0.008337439441546236
Industrie d'extraction,A_l,Administration publique,1,-0.12926876650844865
Industrie d'extraction,A_l,Éducation-santé,1,-0.0007248810151987695
Industrie d'extraction,A_l,Autres services,1,-0.08606241184785034
Industrie d'extraction,A_l,Industrie de transformation,2,0.006405808794673419
Industrie d'extraction,A_l,Finances et assurances,2,0.018290695578916792
Industrie d'extraction,A_l,Hébergement-restauration,2,-0.0023496711929143306
Industrie d'extraction,A_l,Pêche,2,0.0004537561064287144
Industrie d'extraction,A_l,Industrie d'extraction,2,-0.0022210265699492
Industrie d'extraction,A_l,Construction,2,0.005839038749753597
Industrie d'extraction,A_l,Information-communication,2,0.015042951404886604
Industrie d'extraction,A_l,Immobilier,2,0.039746992520037105
Industrie d'extraction,A_l,Agriculture,2,-6.602105068777932e-05
Industrie d'extraction,A_l,Commerce,2,-0.006614712565243749
Industrie d'extraction,A_l,Transports,2,0.0008051608023639015
Industrie d'extraction,A_l,"Électricité, gaz, eau",2,0.00596409204059089
Industrie d'extraction,A_l,Services aux entreprises,2,0.005735470885572278
Industrie d'extraction,A_l,Administration publique,2,0.05621148289773795
Industrie d'extraction,A_l,Éducation-santé,2,-0.030019346212613613
Industrie d'extraction,A_l,Autres services,2,9.089464787561264e-05
Industrie d'extraction,A_l,Industrie de transformation,3,-0.001155401707635709
Industrie d'extraction,A_l,Finances et assurances,3,0.006736826296562364
Industrie d'extraction,A_l,Hébergement-restauration,3,-0.0010637966551749994
Industrie d'extraction,A_l,Pêche,3,-0.00031489901771376
Industrie d'extraction,A_l,Industrie d'extraction,3,0.0003843023643718392
Industrie d'extraction,A_l,Construction,3,0.013958067929866867
Industrie d'extraction,A_l,Information-communication,3,0.003842823718360692
Industrie d'extraction,A_l,Immobilier,3,0.04474612880534073
Industrie d'extraction,A_l,Agriculture,3,0.002836975257207138
Industrie d'extraction,A_l,Commerce,3,-0.00995401425551607
Industrie d'extraction,A_l,Transports,3,0.0018267870448224431
Industrie d'extraction,A_l,"Électricité, gaz, eau",3,-0.0029893292973810744
Industrie d'extraction,A_l,Services aux entreprises,3,-0.0005640949294722406
Industrie d'extraction,A_l,Administration publique,3,-0.008642820541466926
Industrie d'extraction,A_l,Éducation-santé,3,-0.02399023157851438
Industrie d'extraction,A_l,Autres services,3,-0.008710206592447233
Industrie d'extraction,A_l,Industrie de transformation,4,-0.009588972411855357
Industrie d'extraction,A_l,Finances et assurances,4,0.004768093085754133
Industrie d'extraction,A_l,Hébergement-restauration,4,-0.00054636760250953
Industrie d'extraction,A_l,Pêche,4,-0.000904146894283184
Industrie d'extraction,A_l,Industrie d'extraction,4,-0.0038395220998529303
Industrie d'extraction,A_l,Construction,4,-0.0006484955234586059
Industrie d'extraction,A_l,Information-communication,4,-0.0030440235315087353
Industrie d'extraction,A_l,Immobilier,4,0.01974415526645116
Industrie d'extraction,A_l,Agriculture,4,-0.0011980497342971464
Industrie d'extraction,A_l,Commerce,4,-0.010637640479396106
Industrie d'extraction,A_l,Transports,4,-0.0019226842154189238
Industrie d'extraction,A_l,"Électricité, gaz, eau",4,-0.0029699713724233665
Industrie d'extraction,A_l,Services aux entreprises,4,0.0005136806706564419
Industrie d'extraction,A_l,Administration publique,4,0.011373959690322538
Industrie d'extraction,A_l,Éducation-santé,4,-0.016140915483491752
Industrie d'extraction,A_l,Autres services,4,-0.014327650033984063
Industrie d'extraction,A_l,Industrie de transformation,5,-0.0002546717713070169
Industrie d'extraction,A_l,Finances et assurances,5,-0.005808445506591453
Industrie d'extraction,A_l,Hébergement-restauration,5,-0.00013423225125597368
Industrie d'extraction,A_l,Pêche,5,1.8682908615816018e-05
Industrie d'extraction,A_l,Industrie d'extraction,5,-0.0008517027975902716
Industrie d'extraction,A_l,Construction,5,-0.007399878438461831
Industrie d'extraction,A_l,Information-communication,5,0.001019559729886902
Industrie d'extraction,A_l,Immobilier,5,-0.011954895369913442
Industrie d'extraction,A_l,Agriculture,5,0.0002805207744473805
Industrie d'extraction,A_l,Commerce,5,-0.0028297371543926073
