;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2014;2015
        297 Fabrication d'appareils domestiques;20.989;26.631;29.203;26.965;63.45;66.079;66.248;57.665;82.585;90.117;79.066;74.228;134.995;136.857;91.454;88.218;82.971;91.493;95.22;92.798;92.154;93.434;85.91;;
    30 Fabrication de machines de bureau et de matériel informatique;24.125;25.323;19.036;16.231;23.394;19.194;38.815;35.043;16.784;6.72;4.595;1.092;0.685;3.141;16.569;18.747;17.503;19.979;19.474;22.961;4.367;3.269;4.172;5.377;5.379
        300 Fabrication de machines de bureau et de matériel informatique;24.125;25.323;19.036;16.231;23.394;19.194;38.815;35.043;16.784;6.72;4.595;1.092;0.685;3.141;16.569;18.747;17.503;19.979;19.474;22.961;4.367;3.269;4.172;;
    34 Industrie automobile;432.322;479.399;501.693;541.8;647.365;725.993;780.735;783.563;696.098;623.632;578.1;623.641;680.137;649.819;559.755;563.767;523.446;546.19;594.535;573.767;619.139;651.518;786.328;1693.218;2141.062
        341 Construction de véhicules automobiles;206.157;237.756;243.182;257.517;326.546;368.769;406.879;400.581;442.524;398.88;376.798;367.502;423.393;386.788;297.319;319.649;252.571;261.962;331.055;348.629;359.249;375.54;375.252;;
        342 Fabrication de carrosserie et remorques;72.796;70.423;78.293;81.848;89.089;90.94;103.65;101.032;171.549;138.251;116.476;133.128;120.632;128.835;123.302;120.541;156.813;173.51;164.128;116.216;151.735;134.806;175.651;;
        343 Fabrication d'équipements automobiles;153.369;171.22;180.218;202.435;231.73;266.284;270.206;281.95;82.025;86.501;84.826;123.011;136.112;134.196;139.134;123.577;114.062;110.718;99.352;108.922;108.155;141.172;235.425;;
    35 Fabrication d'autres matériels de transport;132.27;143.247;152.676;172.184;192.297;175.891;135.033;138.114;131.472;131.329;145.576;153.305;176.046;206.102;246.372;263.97;274.767;309.708;422.341;434.952;461.538;540.004;626.192;783.272;795.601
        351 Construction navale;29.705;29.843;30.838;39.444;54.611;52.485;54.976;57.607;58.189;60.216;62.198;74.942;81.073;94.22;92.172;84.212;90.966;94.772;101.832;85.903;82.495;86.761;81.047;;
        352 Construction de matériel ferroviaire roulant;36.785;45.002;48.495;42.297;46.339;46.339;6.921;13.902;14.371;;13.596;0.223;15.567;14.922;14.781;;;28.377;47.101;43.052;45.828;51.69;64.776;;
        353 Construction aéronautique et spatiale;27.506;33.805;30.519;33.565;33.944;34.175;32.196;25.496;23.576;35.249;39.328;44.304;45.853;63.575;93.268;138.577;137.352;140.379;221.207;254.105;284.8;350.363;425.385;;
        354 Fabrication de motocycles et de bicyclettes;33.947;33.305;40.659;54.882;55.626;40.916;38.997;38.942;32.724;33.781;28.394;31.656;31.498;31.382;44.223;39.314;44.438;44.189;50.219;49.938;46.293;49.202;52.914;;
        355 Matériels de transport n.c.a;4.327;1.292;2.165;1.996;1.777;1.976;1.943;2.167;2.612;2.083;2.06;2.18;2.055;2.003;1.928;1.867;2.011;1.991;1.982;1.954;2.122;1.988;2.07;;
    36 Fabrication de meubles, industries diverses;133.912;126.364;146.609;158.871;180.85;163.638;167.756;161.651;314.309;359.662;320.856;447.154;404.002;409.841;439.508;503.836;535.901;404.797;404.964;557.046;679.418;664.535;730.135;762.368;651.332
        361 Fabrication de meubles;120.396;110.62;124.498;138.129;156.985;140.319;148.619;140.739;208.693;253.309;217.406;338.518;297.353;298.622;337.245;386.875;408.898;283.21;280.24;431.334;547.157;538.965;591.019;;
        362 Bijouterie;;;;1.16;1.832;1.832;1.832;1.851;10.689;11.708;12.534;13.042;22.706;23.521;29.963;37.513;42.947;50.283;56.335;64.577;69.648;69.84;75.186;;
        363 Fabrication d'instruments de musique;;;;;;;;0.397;;;;;;;;;;;;;;;;;
        364 Fabrication d'articles de sport;0.896;;1.592;0.472;0.477;0.477;;;0.554;0.58;0.424;0.202;0.092;0.071;0.146;0.254;0.301;0.324;0.373;0.441;0.658;0.353;0.356;;
        365 Fabrication de jeux et de jouets;1.021;1.021;1.021;1.021;1.112;1.112;;;3.757;2.374;0.485;;0.829;0.87;2.391;4.289;5.581;5.972;6.371;6.245;5.776;6.444;8.024;;
        366 Autres industries diverses;11.599;14.723;19.498;18.089;20.444;19.898;17.305;18.664;90.616;91.691;90.007;95.392;83.022;86.757;69.763;74.905;78.174;65.008;61.645;54.449;56.179;48.933;55.55;;
    37 Récupération;;;;0.517;0.517;0.517;0.517;0.517;0.517;0.517;0.517;0.954;1.377;1.211;1.513;1.097;1.169;1.097;1.064;1.247;1.459;1.737;1.674;1.615;1.462
        372 Récupération de matières non métalliques recyclable;;;;0.517;0.517;0.517;0.517;0.517;0.517;0.517;0.517;0.954;1.377;1.211;1.513;1.097;1.169;1.097;1.064;1.247;1.459;1.737;1.674;;
5 Industrie électrique et électronique;630.664;670.916;695.633;668.069;676.054;726.558;727.775;758.177;1045.341;1175.441;1416.775;1560.439;1778.724;1966.525;2137.576;2330.056;2664.74;2868.98;2958.336;3055.6;3436.329;3948.221;4150.607;4695.527;5448.77
    31 Fabrication de machines et appareils électriques;288.72;310.632;319.258;347.608;373.17;411.154;402.812;426.646;631.989;750.847;902.367;1068.669;1207.783;1348.895;1490.576;1671.905;1972.351;2144.604;2263.276;2185.292;2800.463;3083.011;3254.916;3897.36;4529.756
        311 Fabrication de moteurs, génératrices et transforma;90.211;97.894;69.083;94.128;92.091;98.19;44.428;49.045;56.433;55.915;58.488;59.78;55.792;57.421;60.331;59.432;66.216;45.551;39.224;41.132;85.524;97.084;56.25;;
        312 Fabrication de fils et câbles isoles;40.213;44.662;52.201;48.643;60.871;73.829;119.116;122.619;197.23;254.093;274.765;311.731;331.76;380.92;402.209;443.702;466.901;425.203;448.158;366.52;316.549;315.127;336.402;;
        313 Fabrication de matériel de distribution et de commande;70.899;80.979;85.256;89.659;102.058;107.818;92.537;98.639;101.056;100.755;123.267;148.958;90.146;46.384;47.826;135.386;158.747;147.822;142.339;167.319;192.341;160.272;177.323;;
        314 Fabrication d'accumulateurs et de piles électriques;32.22;32.815;37.473;39.062;42.846;43.391;63.243;57.619;57.21;67.521;46.742;42.598;79.929;136.099;142.609;51.873;38.543;55.063;85.07;82.029;58.343;81.051;84.995;;
        315 Fabrication de lampes et d'appareils d'émission et de transmission;41.508;39.571;61.045;47.959;54.298;64.783;53.876;73.933;82.27;79.448;80.636;78.215;73.023;80.899;69.236;77.373;75.612;71.722;73.533;81.641;81.786;68.85;69.782;;
        316 Fabrication d'autres matériels électriques;13.669;14.711;14.2;28.157;21.006;23.143;29.612;24.791;137.79;193.115;318.469;427.387;577.133;647.172;768.365;904.139;1166.332;1399.243;1474.952;1446.651;2065.92;2360.627;2530.164;;
    32 Fabrication d'équipements de radio, télévision et communication;337.262;355.55;367.074;308.238;289.01;297.363;304.833;308.618;364.375;381.519;474.313;454.505;538.637;579.171;608.483;603.847;607.49;636.946;608.01;542.36;539.933;595.486;619.692;534.584;661.142
        321 Fabrication de composants électroniques;144.985;140.958;165.791;174.236;174.19;206.988;203.334;204.43;267.596;278.334;361.701;310.793;395.78;441.005;464.877;464.104;481.25;510.767;478.311;384.571;417.789;471.462;494.837;;
        322 Fabrication d'appareils d'émission et de transmission;192.277;214.592;201.283;134.002;114.82;90.375;101.499;104.188;93.933;100.283;109.094;140.932;134.568;135.457;140.651;137.313;123.919;123.801;128.638;156.431;120.984;124.024;124.855;;
