;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
        251 Industrie Du caoutchouc;982.675;1049.303;837.125;947.889;844.261;999.082;1197.841;1443.584;1128.477;1041.005;924.718;582.046;661.516;543.881;214.796;258.668;527.922;236.254;232.574;240.759;197.911;302.346;375.242;394.353;;;;;;;
        252 Transformation des matières plastiques;1375.738;1600.025;1807.361;1805.852;1946.331;2086.858;2494.796;2821.141;3117.951;3241.318;3736.775;3664.601;4013.026;3680.57;4195.865;4708.667;5076.144;6665.031;7443.122;7343.244;6758.601;8339.315;8932.021;9246.285;;;;;;;
    26 Fabrication D'autres produits minéraux non métalliques;7106.39;7451.103;8239.656;8695.163;8848.646;8983.015;9899.318;10816.154;9747.643;10486.311;11131.569;11725.437;11681.567;13341.803;13298.815;15641.542;24473.757;29176.688;29365.652;30651.152;31536.664;34184.113;33535.565;35183.45;36484.342;37350.41;31800.585;;;;
        261 Fabrication De verre et d'articles en verre;453.898;455.982;393.187;390.018;382.462;417.091;389.51;367.942;437.851;375.02;485.643;566.344;574.446;575.145;601.136;605.518;692.081;689.559;776.121;816.983;961.211;971.098;1070.849;1052.756;;;;;;;
        262 Fabrication De produits céramiques;769.281;782.491;863.682;1072.329;1059.042;1315.953;1444.557;1545.223;403.651;464.795;428.753;468.29;515.336;726.414;782.364;553.029;605.867;708.538;677.404;508.02;1250.583;1286.571;1389.583;1281.6;;;;;;;
        263 Fabrication De carreaux en céramiques;;;;;;;;0.873;1040.91;1052.408;1143.457;1499.819;1541.022;1347.647;1337.547;2076.103;2870.485;2409.917;2770.121;2584.11;2614.872;2485.261;2493.695;2472.562;;;;;;;
        264 Fabrication De tuiles et briques en terre cuite;448.252;475.943;542.354;598.155;579.318;576.104;584.395;685.715;530.466;570.064;588.964;532.362;608.378;711.592;740.636;830.003;945.199;1184.656;1476.311;1743.95;1639.574;1771.941;1755.358;1529.114;;;;;;;
        265 Fabrication De ciment, chaux et plâtre;3499.217;3747.313;4315.015;4087.622;4268.715;4305.276;4295.305;4792.747;3692.14;4968.678;5539.464;5777.08;5106.014;6214.45;5968.496;6059.495;10714.001;12375.842;12943.528;14029.802;14487.531;15849.302;15446.448;16985.786;;;;;;;
        266 Ouvrages en Béton ou en plâtre;1219.309;1313.784;1430.325;1751.447;1958.077;1948.595;2736.02;2854.33;3083.744;2610.492;2491.434;2263.189;2772.268;3008.668;3112.135;4770.613;5783.842;7411.576;8173.389;8506.055;8198.046;9101.85;8708.069;9198.186;;;;;;;
        267 Travail de la Pierre;527.733;441.023;425.214;512.117;289.852;281.641;285.151;331.773;300.598;301.955;307.786;417.47;443.068;442.361;473.861;518.242;2588.32;2714.147;639.219;627.134;608.332;668.956;588.738;536.672;;;;;;;
