;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        286 Fabrication de coutellerie, d'outillage et de quincailler;32.547;30.368;41.742;38.27;36.874;32.302;20.405;32.723;18.012;10.913;92.694;93.702;17.547;17.317;16.982;35.551;34.437;19.703;9.345;5.566;12.495;6.064;8.994;7.365;;;;;;
        287 Fabrication d'autres ouvrages en métaux;194.474;114.831;167.455;169.817;120.33;162.676;166.911;200.62;168.005;188.971;192.0;125.295;87.901;82.213;55.751;109.122;185.288;524.192;1150.558;1211.175;2033.653;905.05;331.301;165.913;;;;;;
    29 Fabrication de machines et équipements;67.165;107.379;108.99;77.058;93.187;113.872;126.02;108.631;76.072;93.744;64.235;80.83;175.839;141.798;100.1;96.279;114.169;139.055;165.8;168.447;179.279;48.321;73.562;73.842;70.323;170.829;104.782;;;
        291 Fabrication d'équipements mécaniques;35.91;45.213;31.543;30.938;39.6;38.744;45.859;45.337;17.821;19.911;11.628;19.449;31.596;28.08;17.639;22.231;17.258;39.984;30.703;47.014;12.235;10.544;31.178;6.798;;;;;;
        292 Fabrication de machines d'usage général;26.482;42.708;56.476;31.994;19.489;44.468;26.46;17.538;18.146;14.864;12.831;30.107;94.712;24.864;50.202;53.867;20.93;18.707;23.072;35.423;27.24;13.314;20.08;27.048;;;;;;
        293 Fabrication de machines agricoles;0.843;7.008;5.406;3.399;1.629;2.3;15.704;24.232;2.472;1.265;11.943;6.929;1.674;2.805;0.23;0.423;32.057;19.836;44.152;62.771;124.418;9.35;11.787;4.868;;;;;;
        294 Fabrication de machines-outils;0.264;;0.597;5.534;6.627;9.601;6.838;8.013;;;;0.18;1.216;0.444;0.847;1.498;0.99;2.79;0.917;0.991;2.792;3.931;1.515;0.67;;;;;;
        295 Fabrication d'autres machines d'usage spécifique;2.398;3.155;3.609;1.766;14.577;6.716;12.807;2.166;4.01;7.913;3.964;1.52;3.849;12.472;0.166;6.696;7.895;0.864;0.685;0.765;0.899;0.254;0.193;0.937;;;;;;
        297 Fabrication d'appareils domestiques;1.268;9.295;11.359;3.427;11.265;12.043;18.352;11.345;33.623;49.791;23.869;22.645;42.792;73.133;31.016;11.564;35.039;56.874;66.271;21.483;11.695;10.928;8.809;33.521;;;;;;
    30 Fabrication de machines de bureau et de matériel informatique;15.747;18.945;5.835;10.98;13.111;9.121;24.569;15.726;;;;0.044;;0.083;1.781;1.712;4.189;3.978;3.698;1.453;0.003;1.962;4.717;0.324;0.454;3.613;3.614;;;
