;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020
        264 Fabrication De tuiles et briques en terre cuite;150.249;195.782;215.303;218.232;185.508;220.788;218.93;236.582;214.711;266.825;256.425;214.746;213.745;254.029;277.055;281.964;278.921;373.172;469.526;598.746;546.85;615.048;598.8008;527.3885;;;;;;
        265 Fabrication De ciment, chaux et plâtre;1625.555;2059.486;1816.073;1755.981;2205.721;2486.873;2885.575;2981.497;2066.243;2638.117;3272.504;3107.858;3077.789;3511.994;2936.046;3360.828;5076.177;7036.823;7127.478;8330.476;8703.272;10314.6015;9129.8487;10196.7877;;;;;;
        266 Ouvrages en Béton ou en plâtre;572.786;681.123;826.363;776.971;778.897;731.932;1126.085;1159.668;1195.247;973.75;922.125;882.158;904.117;957.131;996.222;1188.905;1268.764;1411.457;1776.371;1868.136;1910.586;2057.21562;1994.1946;2023.1797;;;;;;
        267 Travail de la Pierre;143.133;203.606;173.748;125.253;86.135;79.081;89.18;101.061;112.214;110.124;103.597;124.77;134.848;125.857;152.459;479.002;138.306;159.054;143.387;150.872;162.638;167.0746;158.0856;149.1717;;;;;;
        268 Fabrication De produits minéraux divers;80.229;101.622;126.667;126.825;145.026;58.664;69.93;102.073;97.948;97.028;59.571;74.352;74.025;89.699;128.596;72.843;66.121;588.594;671.33;1126.6;2594.662;3805.5996;3968.7877;4039.8389;;;;;;
4 Industrie mécanique et métallurgique;3757.0;4287.0;4723.0;4700.0;4973.0;4925.0;5045.0;5135.0;6279.0;6590.0;6280.0;6697.0;6874.0;7376.0;7280.0;7996.0;8570.0;9392.0;11107.0;10651.0;10590.0;12036.0;12189.0;13433.0;14449.0;14764.0;16223.0;16659.0;34209.0;34772.0
    27 Métallurgie;695.6936;673.0555;618.8439;538.549;605.0852;665.8345;692.324;630.2885;883.2081;938.673;1173.0961;1195.33227;1324.16249;1716.05211;1661.98884;2098.98155;2203.49885;2584.53815;2879.96948;2503.33597;2296.64817;2902.07628;2288.2931;2577.3181;2130.703;2196.871;3633.0299;;;
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;607.981;556.653;656.224;782.684;904.103;1319.178;1107.127;1430.187;1655.176;1847.675;2223.671;1505.034;1229.055;1911.91678;1299.5911;1582.545;;;;;;
        272 Fabrication de tubes en fonte ou en acier;5.258;4.601;1.388;0.875;0.875;1.222;1.257;1.317;115.118;257.649;355.168;186.714;94.443;106.51;126.078;105.936;101.689;121.68;217.61;182.289;287.936;250.1894;271.6465;324.5624;;;;;;
        273 Première transformation de l'acier;610.355;580.247;531.396;400.145;474.429;530.287;556.639;534.335;4.612;7.703;12.639;32.573;49.265;46.365;51.887;39.302;40.621;24.506;29.247;42.205;50.03;60.1633;43.2645;21.4528;;;;;;
