,Crédit bancaire Industries alimentaires et tabac (MDH),Crédit bancaire Industries textiles-habillement-cuir (MDH),Crédit bancaire Industries chimiques-parachimiques (MDH),Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),Crédit bancaire Industries manufacturières diverses (MDH),IPI — Industries manufacturières hors raffinage de pétrole,IPI — Industries alimentaires,IPI — Fabrication de boissons,IPI — Fabrication de produits à base de tabac,IPI — Fabrication de textiles,IPI — Industrie d’habillement,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Industrie du papier et du carton,IPI — Imprimerie et reproduction d’enregistrements,IPI — Industrie chimique,IPI — Industrie pharmaceutique,IPI — Fabrication de produits en caoutchouc et en plastique,IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements","IPI — Fabrication de produits informatiques, électroniques et optiques",IPI — Fabrication d’équipements électriques,IPI — Fabrication de machines et équipements n.c.a.,IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Fabrication de meubles,IPI — Autres industries manufacturés,IPI — Réparation et installation de machines et équipements,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),Crédits à l'équipement — Industrie de transformation (MDH),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (2),Crédits à l'équipement — Industrie de transformation (MDH) (2),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (3),Crédits à l'équipement — Industrie de transformation (MDH) (3),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (4),Crédits à l'équipement — Industrie de transformation (MDH) (4),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (5),Crédits à l'équipement — Industrie de transformation (MDH) (5)
2017-10-01,28083.0146,6114.6414,9392.9957,18074.3539,20440.3076,108.9,106.9,123.7,101.9,99.1,101.4,86.1,80.6,98.0,115.3,112.4,108.5,98.2,105.5,92.2,86.3,107.9,127.4,119.9,123.1,220.2,93.1,122.2,100.7,18065.2209,7693.956,3275.8097,596.7547,5096.4838,2389.1558,10208.0424,4840.1164,6247.282,4499.6038
2018-01-01,28600.1462,6259.7671,9779.2572,18865.7417,19902.0374,110.1,120.2,89.3,95.7,112.6,97.1,101.1,85.7,130.7,121.6,120.6,114.0,112.2,100.8,86.3,91.1,99.9,90.8,112.1,132.7,164.9,84.6,110.0,107.4,18790.944,7402.4023,3424.8525,734.2933,5002.019,2403.4315,11110.5545,4938.2917,6037.5176,5053.1373
2018-04-01,31439.8319,6052.3291,10276.8886,18954.938,20637.124,112.9,111.2,73.8,97.1,100.3,99.8,99.9,75.6,123.2,107.9,143.4,98.7,133.7,102.2,73.2,103.4,103.7,110.2,117.4,130.1,194.1,83.9,110.4,103.4,21208.1872,7749.8267,3297.9975,669.7889,5454.5951,2308.8094,11218.1855,4662.3183,6663.9921,4855.0227
2018-07-01,31942.4116,6097.0645,11491.083,18829.8715,19833.1148,105.2,117.8,94.0,97.5,75.3,87.1,62.9,73.5,106.0,105.5,130.2,92.1,90.6,93.9,80.6,109.2,102.4,78.5,105.7,104.0,185.8,79.9,103.6,100.2,25185.7025,4457.5548,3292.5247,711.9142,5769.4667,2806.9961,11119.7794,4628.7641,6644.6198,4047.2654
2018-10-01,32110.5874,5952.9478,11194.949,18680.1703,19530.1329,114.3,112.4,125.8,105.9,98.6,103.7,78.8,89.5,98.8,122.0,125.0,107.7,103.3,103.2,86.0,87.1,122.4,132.1,132.6,141.1,219.7,102.6,124.3,101.8,25020.5608,4603.414,3285.8845,724.5201,5582.3414,2765.8471,11252.2324,4600.8732,6243.243,4214.625
2019-01-01,30613.1665,6036.23,9451.5296,19155.3186,17072.0786,113.1,120.2,84.6,95.2,106.3,102.9,97.3,87.8,126.9,123.1,129.0,109.8,114.4,103.3,93.8,83.9,117.1,99.2,92.8,146.6,164.3,86.0,106.4,107.5,20470.0639,7655.7804,3160.2563,770.8114,5141.9102,1886.3223,11563.7562,4716.0752,5468.1692,3459.4194
2019-04-01,30569.5396,6385.0387,10871.5666,19693.5144,16245.8986,115.5,114.4,69.5,98.2,100.7,103.4,82.1,78.5,119.4,109.4,149.0,103.8,145.8,100.4,70.0,98.2,108.7,110.4,119.5,143.0,197.8,78.2,108.1,105.7,20294.6142,7733.8803,3171.2066,1162.2216,5774.1685,2656.8365,11955.1777,4767.35,5552.9729,2645.1002
2019-07-01,34298.6869,6257.9792,11895.7324,19776.6929,16284.7835,106.9,118.4,99.4,95.9,75.7,92.3,57.9,79.3,100.8,111.8,132.4,99.1,88.9,94.2,86.2,103.5,105.4,89.1,111.5,107.1,184.7,85.6,99.2,100.9,23775.2862,7930.1756,3125.1399,1159.8118,6759.1418,3222.5726,11665.294,4926.2754,5640.7106,2546.6792
2019-10-01,31989.8591,6297.2878,11255.2995,19469.0072,16609.8864,117.1,113.2,125.7,100.9,92.4,102.6,75.3,92.0,106.0,120.7,133.2,111.5,112.0,105.7,105.2,91.8,126.8,139.3,124.5,143.2,221.9,103.3,100.0,108.9,22692.3742,6736.9879,3276.2027,1141.6365,5773.1368,3494.5149,11106.4974,4760.4978,5403.6304,2882.0609
2020-01-01,29339.3479,6292.4306,11416.1855,19868.5685,16271.2508,113.7,129.2,82.2,91.1,103.8,109.5,71.7,93.0,138.9,121.6,139.6,129.0,113.2,98.6,80.0,91.9,99.1,98.6,87.0,116.9,167.5,81.3,104.6,105.3,20494.2286,6409.8807,3244.2356,1122.3288,5674.5338,3522.0139,11247.7118,4658.0218,6113.0179,2540.759
