trimestre;categorie;indicateur;variation_trimestrielle;variation_annuelle;confiance;fichier_source
T4-2019;Maison;transactions;9.5;-8.7;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Professionnel;transactions;17.0;-4.9;haute;DERI-IPAI T4 2019vf.pdf
T1-2020;Foncier;prix;-1.1;-1.2;haute;IPAI T1 2020.pdf
T1-2020;Global;prix;-1.6;-1.4;haute;IPAI T1 2020.pdf
T1-2020;Local commercial;prix;-5.4;-2.6;haute;IPAI T1 2020.pdf
T1-2020;Maison;prix;-3.3;-3.2;haute;IPAI T1 2020.pdf
T1-2020;Professionnel;prix;-3.3;-2.0;haute;IPAI T1 2020.pdf
T1-2020;Résidentiel;prix;-1.8;-1.5;haute;IPAI T1 2020.pdf
T1-2020;Villa;prix;-5.2;-4.7;haute;IPAI T1 2020.pdf
T1-2020;Appartement;transactions;-33.1;-30.8;haute;IPAI T1 2020.pdf
T1-2020;Foncier;transactions;-27.2;-28.7;haute;IPAI T1 2020.pdf
T1-2020;Local commercial;transactions;-26.2;-22.1;haute;IPAI T1 2020.pdf
T1-2020;Maison;transactions;-33.3;-27.7;haute;IPAI T1 2020.pdf
T1-2020;Résidentiel;transactions;-32.9;-30.6;haute;IPAI T1 2020.pdf
T2-2020;Appartement;prix;-3.7;-3.7;haute;IPAI T2 2020 VF.pdf
T2-2020;Bureau;prix;1.4;2.5;haute;IPAI T2 2020 VF.pdf
T2-2020;Foncier;prix;-3.0;-2.7;haute;IPAI T2 2020 VF.pdf
T2-2020;Global;prix;-3.3;-3.3;haute;IPAI T2 2020 VF.pdf
T2-2020;Local commercial;prix;-1.5;-1.9;haute;IPAI T2 2020 VF.pdf
T2-2020;Maison;prix;-5.1;-6.7;haute;IPAI T2 2020 VF.pdf
T2-2020;Professionnel;prix;-0.9;-1.3;haute;IPAI T2 2020 VF.pdf
T2-2020;Villa;prix;-0.8;-3.1;haute;IPAI T2 2020 VF.pdf
T2-2020;Appartement;transactions;-37.2;-54.9;haute;IPAI T2 2020 VF.pdf
T2-2020;Bureau;transactions;-52.9;-61.1;haute;IPAI T2 2020 VF.pdf
T2-2020;Global;transactions;-42.8;-56.1;haute;IPAI T2 2020 VF.pdf
T2-2020;Maison;transactions;-59.0;-66.6;haute;IPAI T2 2020 VF.pdf
T2-2020;Résidentiel;transactions;-38.2;-55.3;haute;IPAI T2 2020 VF.pdf
T2-2020;Villa;transactions;-17.9;-44.5;haute;IPAI T2 2020 VF.pdf
T3-2020;Appartement;prix;3.4;-1.1;haute;IPAI T3-2020.pdf
T3-2020;Bureau;prix;3.2;3.8;haute;IPAI T3-2020.pdf
T3-2020;Foncier;prix;3.6;-0.4;haute;IPAI T3-2020.pdf
T3-2020;Global;prix;3.6;-0.8;haute;IPAI T3-2020.pdf
T3-2020;Local commercial;prix;5.5;3.0;haute;IPAI T3-2020.pdf
T3-2020;Maison;prix;4.8;-2.7;haute;IPAI T3-2020.pdf
T3-2020;Professionnel;prix;5.1;3.0;haute;IPAI T3-2020.pdf
T3-2020;Villa;prix;5.4;0.8;haute;IPAI T3-2020.pdf
T3-2020;Appartement;transactions;96.0;-14.8;haute;IPAI T3-2020.pdf
T3-2020;Foncier;transactions;188.8;0.1;haute;IPAI T3-2020.pdf
T3-2020;Maison;transactions;138.4;-26.1;haute;IPAI T3-2020.pdf
T3-2020;Résidentiel;transactions;96.2;-15.3;haute;IPAI T3-2020.pdf
T3-2020;Villa;transactions;35.1;-10.1;haute;IPAI T3-2020.pdf
T4-2020;Appartement;prix;1.4;0.9;haute;IPAI T4-2020.pdf
T4-2020;Bureau;prix;-12.1;-6.3;haute;IPAI T4-2020.pdf
T4-2020;Foncier;prix;-0.5;0.5;haute;IPAI T4-2020.pdf
T4-2020;Global;prix;0.6;0.6;haute;IPAI T4-2020.pdf
T4-2020;Local commercial;prix;1.1;-0.1;haute;IPAI T4-2020.pdf
T4-2020;Maison;prix;2.4;0.5;haute;IPAI T4-2020.pdf
T4-2020;Professionnel;prix;-1.0;-1.0;haute;IPAI T4-2020.pdf
T4-2020;Villa;prix;-1.5;0.8;haute;IPAI T4-2020.pdf
T4-2020;Appartement;transactions;39.0;23.3;haute;IPAI T4-2020.pdf
T4-2020;Bureau;transactions;33.5;22.9;haute;IPAI T4-2020.pdf
T4-2020;Global;transactions;39.2;27.1;haute;IPAI T4-2020.pdf
T4-2020;Local commercial;transactions;17.6;25.2;haute;IPAI T4-2020.pdf
T4-2020;Professionnel;transactions;19.6;24.9;haute;IPAI T4-2020.pdf
T4-2020;Résidentiel;transactions;39.7;22.1;haute;IPAI T4-2020.pdf
T1-2021;Appartement;prix;-1.1;0.9;haute;IPAI T1-2021.pdf
T1-2021;Bureau;prix;7.5;1.9;haute;IPAI T1-2021.pdf
T1-2021;Foncier;prix;1.4;2.9;haute;IPAI T1-2021.pdf
T1-2021;Global;prix;0.0;1.8;haute;IPAI T1-2021.pdf
T1-2021;Local commercial;prix;-0.9;3.0;haute;IPAI T1-2021.pdf
T1-2021;Maison;prix;-0.6;1.8;haute;IPAI T1-2021.pdf
T1-2021;Professionnel;prix;0.3;2.9;haute;IPAI T1-2021.pdf
T1-2021;Villa;prix;0.8;4.6;haute;IPAI T1-2021.pdf
T1-2021;Bureau;transactions;8.6;81.3;haute;IPAI T1-2021.pdf
T1-2021;Global;transactions;-17.4;52.0;haute;IPAI T1-2021.pdf
T1-2021;Local commercial;transactions;1.2;72.2;haute;IPAI T1-2021.pdf
T1-2021;Professionnel;transactions;2.3;73.5;haute;IPAI T1-2021.pdf
T2-2021;Appartement;prix;-6.4;-3.7;haute;IPAI T2 FR 2021.pdf
T2-2021;Bureau;prix;-8.4;-13.3;haute;IPAI T2 FR 2021.pdf
T2-2021;Local commercial;prix;-7.1;-3.1;haute;IPAI T2 FR 2021.pdf
T2-2021;Maison;prix;-2.5;4.2;haute;IPAI T2 FR 2021.pdf
T2-2021;Résidentiel;prix;-5.6;-2.3;haute;IPAI T2 FR 2021.pdf
T2-2021;Appartement;transactions;22.7;183.6;haute;IPAI T2 FR 2021.pdf
T2-2021;Bureau;transactions;-22.2;191.2;haute;IPAI T2 FR 2021.pdf
T2-2021;Foncier;transactions;29.2;393.9;haute;IPAI T2 FR 2021.pdf
T2-2021;Global;transactions;18.8;220.5;haute;IPAI T2 FR 2021.pdf
T2-2021;Local commercial;transactions;-20.5;199.9;haute;IPAI T2 FR 2021.pdf
T2-2021;Résidentiel;transactions;22.0;186.8;haute;IPAI T2 FR 2021.pdf
T2-2021;Villa;transactions;15.0;132.1;haute;IPAI T2 FR 2021.pdf
T3-2021;Appartement;prix;-0.6;-7.4;haute;IPAI T3 2021 VF.pdf
T3-2021;Foncier;prix;1.5;-3.7;haute;IPAI T3 2021 VF.pdf
T3-2021;Local commercial;prix;-1.0;-8.7;haute;IPAI T3 2021 VF.pdf
T3-2021;Maison;prix;0.0;-1.3;haute;IPAI T3 2021 VF.pdf
T3-2021;Professionnel;prix;-0.9;-9.5;haute;IPAI T3 2021 VF.pdf
T3-2021;Résidentiel;prix;-0.5;-6.3;haute;IPAI T3 2021 VF.pdf
T3-2021;Villa;prix;-2.1;-7.1;haute;IPAI T3 2021 VF.pdf
T3-2021;Appartement;transactions;-46.0;-19.0;haute;IPAI T3 2021 VF.pdf
T3-2021;Bureau;transactions;25.2;62.5;haute;IPAI T3 2021 VF.pdf
