,POISSON PELAGIQUE,CEPHALOPODES,POISSON BLANC,COQUILLAGES,CRUSTACES,POISSON PELAGIQUE (2),CEPHALOPODES (2),POISSON BLANC (2),COQUILLAGES (2),CRUSTACES (2),ALGUES,ALGUES (2),MEDITERRANEE,CALA IRIS,FNIDEQ,AL HOCEIMA,JEBHA,M'DIQ,NADOR,RAS KEBDANA,SIDI H'SAINE,TANGER,ATLANTIQUE,AGADIR,AMEGRIOU,BOUJDOUR,CASABLANCA,DAKHLA,EL JADIDA,ESSAOUIRA,IMESSOUANE,IMI OUADDAR,JORF LASFAR,LAAYOUNE,LABOUIRDA,LACRAA (CAP 7),LAKRAA,LARACHE,LMHIRIZ,SAFI,SID ELGHAZI,SIDI IFNI,SOUIRIA KDIMA,TAGHAZOUT,TAN TAN,KSAR SGHIR,DAKHLA (STOCK C),LASSARGA,MOHAMMEDIA,NTIRIFT,Imoutlan,TARFAYA,ASILAH,MEHDIA,MARTIL,AGLOU,OUED LAOU,RKOUNTE,AINBIDA,CHMAALA,INOUAREN,TIFNIT,Sidi ABED,KAA ASRAS,TAFEDNA,TARGHA,Lahdida,AMTAR,BHIBEH,SALE,BELYOUNECH,TAROUMA
2017-05-01,1115026.0,1072260.0,602756.0,2864.0,107878.0,456081.0,22729.0,31445.0,551.0,2435.0,3313.0,10380.0,11734.0,199.0,29.0,1242.0,515.0,1497.0,2794.0,432.0,57.0,4222.0,504856.0,13151.0,358.0,18704.0,3744.0,76624.0,3372.0,2122.0,257.0,61.0,3150.0,152762.0,5179.0,1272.0,1281.0,6987.0,954.0,13835.0,514.0,9548.0,375.0,10.0,12337.0,23.0,161832.0,2286.0,582.0,2025.0,864.0,5705.0,49.0,2974.0,49.0,17.0,312.0,4.0,9.0,65.0,17.0,13.0,842.0,208.0,126.0,58.0,351.0,7.0,75.0,25.0,7.0,168.0
2017-06-01,1291251.0,1294425.0,709206.0,2931.0,126998.0,525933.0,26188.0,36774.0,556.0,2706.0,4428.0,11831.0,13559.0,243.0,47.0,1524.0,569.0,1745.0,3352.0,593.0,75.0,4581.0,583060.0,14740.0,431.0,21319.0,4305.0,77777.0,3420.0,2527.0,319.0,89.0,3736.0,179380.0,5438.0,1380.0,1656.0,7347.0,1083.0,17767.0,600.0,11040.0,436.0,17.0,13953.0,30.0,191910.0,2592.0,683.0,2459.0,1024.0,8176.0,51.0,4210.0,79.0,22.0,318.0,6.0,9.0,77.0,26.0,24.0,1916.0,220.0,151.0,63.0,351.0,8.0,115.0,37.0,10.0,224.0
2017-07-01,1603924.0,1679285.0,846608.0,5682.0,157197.0,656991.0,32072.0,44481.0,998.0,2649.0,5073.0,13131.0,16126.0,291.0,55.0,2117.0,618.0,2007.0,3952.0,882.0,94.0,5105.0,726173.0,17566.0,529.0,24466.0,5045.0,98244.0,4470.0,3219.0,384.0,134.0,4627.0,237021.0,5940.0,1615.0,2017.0,8197.0,1620.0,21715.0,710.0,12049.0,517.0,25.0,15334.0,117.0,234952.0,3306.0,747.0,2960.0,1100.0,8509.0,52.0,5630.0,100.0,41.0,319.0,9.0,9.0,101.0,34.0,45.0,1919.0,222.0,170.0,90.0,351.0,10.0,223.0,52.0,11.0,280.0
2017-08-01,1827265.0,1916191.0,951019.0,3171.0,191393.0,739593.0,35745.0,50023.0,575.0,3443.0,5199.0,13754.0,18047.0,332.0,61.0,2739.0,641.0,2165.0,4439.0,991.0,109.0,5511.0,816566.0,20732.0,579.0,29333.0,5584.0,109777.0,4748.0,4423.0,474.0,169.0,5812.0,256564.0,6082.0,1776.0,2170.0,9332.0,1860.0,24406.0,762.0,13473.0,579.0,31.0,19613.0,122.0,268620.0,3573.0,874.0,3220.0,1167.0,10644.0,52.0,6400.0,115.0,52.0,321.0,12.0,9.0,109.0,40.0,66.0,1919.0,236.0,199.0,93.0,351.0,13.0,314.0,67.0,11.0,344.0
2017-09-01,2059870.0,1952326.0,1015341.0,3362.0,211493.0,832823.0,36437.0,52864.0,618.0,3703.0,5199.0,13754.0,19493.0,363.0,64.0,3144.0,679.0,2291.0,4852.0,1128.0,114.0,5742.0,912187.0,22513.0,596.0,32939.0,5978.0,124570.0,4829.0,5741.0,503.0,178.0,7040.0,283897.0,6135.0,1815.0,2318.0,10211.0,1966.0,27029.0,788.0,14375.0,639.0,32.0,26606.0,123.0,298638.0,3586.0,1071.0,3228.0,1167.0,13398.0,53.0,6556.0,117.0,57.0,340.0,12.0,9.0,112.0,43.0,68.0,1923.0,260.0,211.0,95.0,351.0,14.0,327.0,70.0,12.0,349.0
2017-10-01,2434769.0,1995710.0,1133590.0,4350.0,243027.0,980710.0,37470.0,59165.0,795.0,4208.0,5214.0,13895.0,21584.0,488.0,90.0,3640.0,985.0,2486.0,5238.0,1233.0,114.0,6036.0,1066014.0,26293.0,596.0,44050.0,6723.0,150257.0,5209.0,7839.0,560.0,178.0,8638.0,317229.0,6217.0,1930.0,2637.0,10871.0,2628.0,31990.0,893.0,16319.0,764.0,32.0,39283.0,124.0,346940.0,3651.0,2221.0,3270.0,1167.0,16706.0,54.0,6992.0,118.0,63.0,407.0,12.0,13.0,114.0,43.0,68.0,1923.0,332.0,249.0,109.0,351.0,15.0,327.0,70.0,12.0,362.0
2017-11-01,2731762.0,2023057.0,1220915.0,5159.0,255965.0,1098197.0,38232.0,63408.0,950.0,4418.0,13889.0,47119.0,23058.0,519.0,93.0,4208.0,1103.0,2619.0,5433.0,1285.0,114.0,6252.0,1196072.0,27473.0,596.0,48437.0,7888.0,158493.0,8200.0,8902.0,665.0,178.0,12344.0,354303.0,6392.0,2118.0,2835.0,11396.0,3007.0,37730.0,960.0,19140.0,1974.0,32.0,49028.0,125.0,391761.0,3740.0,2644.0,3298.0,1167.0,17719.0,56.0,8079.0,120.0,65.0,466.0,12.0,13.0,120.0,43.0,68.0,3316.0,402.0,275.0,125.0,474.0,18.0,327.0,70.0,13.0,369.0
2017-12-01,2897586.0,2680598.0,1332684.0,5393.0,278579.0,1165003.0,46491.0,68563.0,964.0,4766.0,24672.0,90250.0,24925.0,568.0,123.0,4671.0,1203.0,2757.0,5962.0,1373.0,139.0,6552.0,1285569.0,28758.0,692.0,49156.0,9616.0,160290.0,14240.0,10542.0,740.0,202.0,17431.0,371584.0,7339.0,2449.0,3067.0,12775.0,3199.0,39857.0,1111.0,22617.0,2061.0,36.0,51384.0,132.0,425917.0,5242.0,3254.0,4196.0,1547.0,18499.0,57.0,9413.0,153.0,67.0,493.0,14.0,13.0,148.0,51.0,74.0,4870.0,429.0,311.0,132.0,1419.0,24.0,405.0,77.0,13.0,434.0
2018-01-01,173899.0,378877.0,123626.0,96.0,18491.0,66571.0,5205.0,6580.0,7.0,286.0,1070.0,4189.0,1613.0,48.0,8.0,192.0,85.0,84.0,427.0,118.0,15.0,579.0,78106.0,1694.0,141.0,4124.0,955.0,2750.0,1313.0,167.0,19.0,26.0,830.0,28683.0,676.0,549.0,102.0,1358.0,228.0,378.0,71.0,2763.0,37.0,5.0,1764.0,6.0,26438.0,549.0,377.0,458.0,132.0,467.0,1.0,575.0,9.0,1.0,4.0,,0.0,7.0,4.0,3.0,100.0,23.0,16.0,5.0,0.0,2.0,8.0,4.0,1.0,61.0
2018-02-01,310516.0,793576.0,234024.0,348.0,35201.0,120105.0,10870.0,11966.0,22.0,552.0,1665.0,6570.0,4088.0,86.0,18.0,341.0,140.0,241.0,800.0,184.0,32.0,2135.0,141092.0,3096.0,268.0,6852.0,3020.0,13817.0,2469.0,312.0,31.0,50.0,1196.0,40060.0,1579.0,791.0,108.0,2602.0,636.0,878.0,144.0,4154.0,88.0,10.0,3192.0,14.0,49010.0,1164.0,505.0,1231.0,284.0,879.0,1.0,1993.0,18.0,1.0,5.0,,0.0,18.0,8.0,8.0,186.0,33.0,28.0,10.0,0.0,3.0,19.0,10.0,2.0,129.0
2018-03-01,506493.0,1137833.0,342793.0,666.0,54073.0,200687.0,15513.0,17611.0,41.0,1143.0,1882.0,7436.0,5204.0,96.0,24.0,423.0,161.0,451.0,1087.0,221.0,44.0,2567.0,231673.0,4246.0,286.0,9425.0,3804.0,26620.0,2771.0,614.0,41.0,57.0,1457.0,58720.0,2330.0,1015.0,110.0,2809.0,877.0,3430.0,227.0,7850.0,121.0,14.0,8181.0,15.0,87127.0,2026.0,664.0,1715.0,439.0,1412.0,2.0,2469.0,25.0,1.0,6.0,,0.0,20.0,10.0,9.0,232.0,35.0,36.0,11.0,13.0,4.0,25.0,13.0,3.0,194.0
2018-04-01,741787.0,1209986.0,446344.0,1045.0,72913.0,291032.0,18090.0,21960.0,71.0,1513.0,2690.0,8378.0,6574.0,100.0,25.0,575.0,180.0,695.0,1363.0,272.0,44.0,3184.0,328782.0,4871.0,286.0,11210.0,4407.0,41053.0,2961.0,1187.0,64.0,57.0,1679.0,74474.0,3420.0,1033.0,347.0,3260.0,1320.0,7877.0,274.0,11080.0,148.0,14.0,19397.0,16.0,125875.0,2229.0,850.0,1976.0,580.0,2090.0,5.0,3099.0,27.0,3.0,6.0,,0.0,20.0,10.0,9.0,929.0,36.0,50.0,13.0,142.0,5.0,25.0,13.0,3.0,194.0
2018-05-01,1042892.0,1269590.0,584584.0,1460.0,110058.0,395378.0,20448.0,27764.0,94.0,2169.0,3262.0,11042.0,8606.0,134.0,25.0,749.0,192.0,985.0,1827.0,543.0,44.0,3962.0,440509.0,6091.0,273.0,18434.0,4979.0,53917.0,3087.0,1734.0,184.0,57.0,1961.0,105068.0,4379.0,1740.0,626.0,4186.0,1679.0,10820.0,388.0,12281.0,212.0,14.0,35387.0,17.0,157309.0,2431.0,924.0,2401.0,713.0,3541.0,7.0,4076.0,28.0,8.0,6.0,,2.0,22.0,10.0,9.0,956.0,38.0,82.0,14.0,13.0,8.0,25.0,13.0,3.0,194.0
2018-06-01,1263869.0,1297314.0,679090.0,2462.0,134917.0,471625.0,21408.0,31789.0,232.0,2567.0,3341.0,11285.0,10495.0,222.0,25.0,972.0,252.0,1210.0,2148.0,742.0,44.0,4528.0,520468.0,8427.0,273.0,19791.0,5302.0,59684.0,3132.0,2270.0,265.0,57.0,2360.0,129177.0,4683.0,1794.0,731.0,4655.0,1821.0,13434.0,442.0,12860.0,244.0,14.0,42059.0,110.0,187739.0,2486.0,972.0,2843.0,749.0,5264.0,69.0,5164.0,28.0,17.0,57.0,,2.0,26.0,10.0,10.0,989.0,81.0,105.0,26.0,13.0,11.0,25.0,13.0,3.0,194.0
2018-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,1729260.0,2306628.0,873995.0,4161.0,170597.0,655466.0,32661.0,40922.0,451.0,3004.0,3763.0,13090.0,15792.0,406.0,50.0,2244.0,657.0,2103.0,3250.0,1048.0,85.0,5295.0,720473.0,16208.0,456.0,26796.0,6346.0,78837.0,3302.0,4507.0,477.0,162.0,3300.0,187704.0,5915.0,2146.0,810.0,5543.0,1839.0,18719.0,579.0,16179.0,395.0,39.0,59612.0,141.0,253931.0,3770.0,1181.0,3878.0,1059.0,7364.0,102.0,6972.0,85.0,35.0,181.0,2.0,2.0,47.0,20.0,71.0,992.0,103.0,147.0,52.0,13.0,20.0,329.0,42.0,5.0,324.0
2018-09-01,2074913.0,2562468.0,984801.0,4723.0,190851.0,793726.0,35966.0,46545.0,546.0,3290.0,3946.0,13840.0,18538.0,507.0,57.0,3048.0,818.0,2540.0,4065.0,1121.0,107.0,5494.0,865481.0,17966.0,680.0,30880.0,6768.0,98835.0,3384.0,5159.0,545.0,219.0,4960.0,223548.0,5969.0,2244.0,874.0,5801.0,1958.0,24113.0,639.0,21764.0,528.0,46.0,85477.0,145.0,295037.0,3774.0,1226.0,3976.0,1059.0,7721.0,106.0,7567.0,95.0,39.0,242.0,5.0,2.0,62.0,25.0,81.0,993.0,117.0,183.0,65.0,13.0,26.0,443.0,51.0,5.0,388.0
2018-10-01,2516416.0,2596917.0,1095760.0,5331.0,210192.0,970340.0,36639.0,52574.0,625.0,3654.0,4870.0,17328.0,21152.0,643.0,57.0,3764.0,1008.0,2982.0,4838.0,1244.0,107.0,5642.0,1047550.0,19890.0,680.0,38438.0,7452.0,131134.0,3522.0,6190.0,596.0,219.0,6989.0,277901.0,6093.0,2715.0,930.0,6354.0,2429.0,28987.0,714.0,24245.0,599.0,46.0,103916.0,147.0,344644.0,3826.0,1343.0,3980.0,1059.0,11920.0,112.0,7930.0,96.0,40.0,282.0,5.0,5.0,82.0,25.0,81.0,996.0,119.0,206.0,75.0,13.0,34.0,443.0,51.0,5.0,388.0
2018-11-01,2745809.0,2621549.0,1198020.0,5865.0,229089.0,1069446.0,37200.0,57791.0,694.0,3968.0,8590.0,32208.0,23438.0,736.0,61.0,4265.0,1201.0,3407.0,5554.0,1355.0,107.0,5820.0,1154252.0,21631.0,680.0,41294.0,8682.0,135725.0,5250.0,7061.0,609.0,224.0,8088.0,310492.0,6218.0,2825.0,964.0,7694.0,2663.0,35489.0,729.0,24769.0,1433.0,46.0,108951.0,147.0,388295.0,3923.0,1553.0,3982.0,1059.0,12222.0,114.0,8281.0,97.0,40.0,307.0,5.0,6.0,95.0,25.0,81.0,1599.0,127.0,212.0,89.0,13.0,39.0,443.0,51.0,5.0,388.0
2018-12-01,3032881.0,2664645.0,1328216.0,6909.0,257798.0,1189229.0,38354.0,63786.0,869.0,4515.0,14411.0,55490.0,25907.0,850.0,66.0,4775.0,1465.0,3794.0,6255.0,1443.0,107.0,6061.0,1285258.0,23600.0,1023.0,43071.0,10464.0,138994.0,8055.0,8699.0,662.0,225.0,11680.0,359800.0,6406.0,3022.0,1005.0,8734.0,3249.0,40325.0,804.0,26713.0,1527.0,46.0,119351.0,150.0,429783.0,4063.0,1965.0,4028.0,1059.0,12894.0,132.0,9120.0,98.0,43.0,406.0,5.0,6.0,100.0,25.0,81.0,2919.0,148.0,244.0,114.0,13.0,39.0,443.0,51.0,5.0,388.0
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,613190.0,1250575.0,388872.0,1036.0,59949.0,232322.0,20567.0,18120.0,107.0,1162.0,8739.0,33227.0,7500.0,229.0,42.0,923.0,308.0,1072.0,2048.0,331.0,64.0,2112.0,273517.0,6307.0,445.0,16523.0,2907.0,22124.0,4685.0,1228.0,104.0,141.0,3758.0,91760.0,2847.0,1036.0,116.0,3672.0,1883.0,6665.0,330.0,6970.0,308.0,43.0,7047.0,10.0,80536.0,2022.0,448.0,1536.0,485.0,2551.0,3.0,3163.0,48.0,4.0,96.0,8.0,0.0,87.0,18.0,30.0,1086.0,58.0,91.0,32.0,0.0,17.0,75.0,24.0,3.0,194.0
2019-04-01,883974.0,1313896.0,499651.0,2370.0,84900.0,329185.0,23188.0,22956.0,156.0,1566.0,9194.0,35048.0,9763.0,271.0,43.0,1146.0,395.0,1618.0,2472.0,403.0,64.0,2942.0,376483.0,7662.0,445.0,23295.0,3681.0,40520.0,5010.0,1850.0,134.0,142.0,4319.0,114441.0,3655.0,1134.0,230.0,4099.0,2596.0,11952.0,434.0,9559.0,350.0,44.0,14601.0,11.0,112209.0,2233.0,543.0,1977.0,628.0,2853.0,8.0,3922.0,49.0,4.0,96.0,8.0,0.0,105.0,18.0,30.0,1136.0,67.0,109.0,39.0,1.0,19.0,75.0,24.0,4.0,194.0
2019-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,1383648.0,1660815.0,714574.0,5415.0,142897.0,513397.0,31207.0,32423.0,241.0,2375.0,10588.0,40305.0,13470.0,355.0,59.0,1719.0,491.0,2251.0,3346.0,612.0,73.0,3978.0,576760.0,13975.0,721.0,30984.0,5396.0,66108.0,5327.0,5575.0,262.0,180.0,5616.0,149284.0,4906.0,2150.0,505.0,5703.0,3960.0,19770.0,683.0,18496.0,462.0,53.0,38050.0,75.0,174980.0,2877.0,1043.0,2873.0,1000.0,7166.0,100.0,6110.0,74.0,20.0,96.0,13.0,9.0,140.0,24.0,57.0,1301.0,92.0,160.0,50.0,7.0,26.0,162.0,39.0,5.0,258.0
2019-07-01,1702471.0,1924776.0,840001.0,6128.0,169597.0,635735.0,36224.0,38392.0,355.0,2679.0,10965.0,40951.0,15770.0,409.0,72.0,2350.0,512.0,2581.0,3804.0,741.0,86.0,4406.0,708580.0,16411.0,912.0,32962.0,6906.0,76000.0,5396.0,7696.0,329.0,199.0,6378.0,187129.0,4920.0,2285.0,577.0,6963.0,4022.0,25951.0,745.0,27210.0,541.0,61.0,50300.0,134.0,217868.0,3105.0,1460.0,3026.0,1062.0,7814.0,103.0,7524.0,97.0,32.0,96.0,18.0,9.0,164.0,28.0,85.0,1302.0,127.0,184.0,124.0,7.0,29.0,253.0,67.0,6.0,322.0
2019-08-01,1831162.0,2064275.0,896043.0,6327.0,185436.0,688155.0,38982.0,41243.0,393.0,2845.0,11599.0,43317.0,17176.0,441.0,76.0,2886.0,522.0,2758.0,4136.0,798.0,86.0,4583.0,766040.0,17397.0,912.0,33367.0,7338.0,77488.0,5467.0,8386.0,521.0,224.0,7502.0,196757.0,4985.0,2372.0,613.0,7569.0,4022.0,27376.0,749.0,30375.0,613.0,67.0,57083.0,135.0,245803.0,3563.0,1496.0,3037.0,1062.0,8044.0,103.0,8160.0,108.0,37.0,96.0,18.0,9.0,176.0,32.0,102.0,1302.0,141.0,202.0,153.0,586.0,33.0,368.0,104.0,9.0,387.0
2019-09-01,2229744.0,2239786.0,1009348.0,7204.0,213206.0,841543.0,42693.0,47261.0,577.0,3224.0,11601.0,43329.0,18947.0,477.0,78.0,3305.0,531.0,3027.0,4686.0,850.0,86.0,4797.0,927952.0,18426.0,998.0,43472.0,7941.0,93746.0,5803.0,9345.0,669.0,236.0,9950.0,244063.0,5454.0,2627.0,681.0,8053.0,4398.0,31807.0,808.0,36752.0,613.0,72.0,81386.0,152.0,283293.0,4049.0,1693.0,3492.0,1105.0,14416.0,105.0,8764.0,111.0,42.0,167.0,18.0,12.0,184.0,35.0,110.0,1303.0,172.0,223.0,236.0,590.0,35.0,410.0,114.0,12.0,419.0
2019-10-01,2670675.0,2305188.0,1125322.0,8681.0,234504.0,1025940.0,44497.0,53470.0,803.0,3570.0,12177.0,45641.0,20789.0,546.0,78.0,3584.0,635.0,3249.0,5212.0,991.0,86.0,5052.0,1119669.0,20093.0,1003.0,51086.0,8498.0,124004.0,6483.0,10357.0,788.0,236.0,12791.0,295011.0,5617.0,3105.0,777.0,8721.0,5113.0,40882.0,971.0,38646.0,613.0,72.0,105628.0,175.0,335470.0,4389.0,2006.0,3523.0,1133.0,19068.0,106.0,9705.0,112.0,44.0,245.0,18.0,14.0,202.0,35.0,110.0,1303.0,221.0,256.0,310.0,590.0,37.0,410.0,114.0,12.0,419.0
2019-11-01,2893754.0,2358553.0,1211606.0,9642.0,255043.0,1121981.0,46050.0,60373.0,942.0,3933.0,14566.0,49564.0,21944.0,636.0,80.0,3680.0,794.0,3463.0,5393.0,996.0,86.0,5321.0,1225901.0,21314.0,1003.0,51639.0,9435.0,134648.0,8430.0,11025.0,822.0,237.0,14441.0,317253.0,5831.0,3457.0,830.0,10419.0,5447.0,45908.0,1233.0,39734.0,809.0,72.0,112515.0,175.0,379470.0,4624.0,2325.0,3562.0,1142.0,22707.0,106.0,10691.0,112.0,44.0,299.0,18.0,15.0,219.0,35.0,110.0,1990.0,242.0,268.0,356.0,882.0,38.0,410.0,114.0,12.0,419.0
2019-12-01,3204166.0,2437527.0,1340655.0,11004.0,274110.0,1253281.0,48299.0,69290.0,1210.0,4340.0,17345.0,60016.0,23521.0,684.0,82.0,3863.0,872.0,3617.0,5733.0,1114.0,86.0,5688.0,1370244.0,23497.0,1010.0,52567.0,11527.0,152190.0,10748.0,12014.0,856.0,239.0,15394.0,360518.0,6307.0,3814.0,894.0,10419.0,5694.0,51197.0,1316.0,42108.0,1314.0,72.0,117643.0,175.0,431401.0,4901.0,2947.0,3694.0,1149.0,27537.0,107.0,11832.0,113.0,45.0,484.0,18.0,15.0,228.0,35.0,110.0,2533.0,266.0,278.0,424.0,884.0,38.0,410.0,120.0,12.0,419.0
2020-01-01,211473.0,620272.0,145351.0,375.0,18333.0,76473.0,11747.0,11511.0,72.0,345.0,4434.0,17736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,541271.0,1096877.0,368302.0,2519.0,49532.0,190946.0,21267.0,27271.0,460.0,939.0,8847.0,35612.0,7182.0,166.0,54.0,771.0,104.0,594.0,1417.0,289.0,58.0,2995.0,242548.0,12649.0,1.0,54.0,13675.0,70287.0,7999.0,118.0,99.0,0.0,3961.0,64276.0,2240.0,1339.0,58.0,4446.0,1601.0,5923.0,569.0,7926.0,672.0,24.0,7152.0,13.0,3944.0,2457.0,830.0,1763.0,512.0,9543.0,34.0,2638.0,84.0,3.0,196.0,2.0,368.0,71.0,25.0,17.0,1046.0,137.0,70.0,182.0,1206.0,18.0,9095.0,28.0,3.0,194.0
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,921491.0,1245122.0,527649.0,6156.0,73351.0,331755.0,26368.0,34637.0,616.0,1312.0,16651.0,66829.0,9642.0,187.0,59.0,1127.0,151.0,1069.0,2083.0,456.0,58.0,3707.0,401698.0,20389.0,410.0,12846.0,4195.0,24491.0,7046.0,9016.0,178.0,100.0,6629.0,84497.0,3493.0,1767.0,168.0,5609.0,2034.0,17403.0,670.0,15649.0,765.0,24.0,18542.0,13.0,140264.0,3243.0,892.0,2568.0,580.0,9694.0,82.0,3394.0,88.0,13.0,196.0,2.0,3.0,72.0,25.0,21.0,2859.0,137.0,104.0,183.0,1273.0,24.0,34.0,30.0,4.0,259.0
2020-06-01,1241950.0,1304809.0,619431.0,6738.0,88658.0,457984.0,28724.0,40257.0,647.0,1583.0,18046.0,72598.0,11150.0,215.0,59.0,1247.0,176.0,1433.0,2453.0,515.0,58.0,4205.0,536090.0,23307.0,600.0,15634.0,6000.0,35577.0,7744.0,9704.0,270.0,104.0,6911.0,128993.0,3959.0,2143.0,233.0,6192.0,2337.0,30654.0,742.0,20411.0,836.0,26.0,34464.0,34.0,170761.0,3641.0,1128.0,3036.0,665.0,10180.0,93.0,4410.0,105.0,19.0,196.0,3.0,3.0,73.0,25.0,21.0,3069.0,137.0,128.0,184.0,1273.0,25.0,34.0,30.0,5.0,259.0
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,1678130.0,1830663.0,769880.0,7707.0,121190.0,630341.0,41698.0,48992.0,712.0,2052.0,19210.0,75420.0,14692.0,284.0,82.0,1864.0,220.0,1965.0,3594.0,727.0,91.0,4737.0,728312.0,26964.0,740.0,19974.0,8161.0,54639.0,8084.0,10473.0,586.0,248.0,8713.0,185655.0,5032.0,2888.0,293.0,7702.0,2680.0,39489.0,1015.0,27256.0,1085.0,46.0,46317.0,103.0,235547.0,5195.0,1405.0,4094.0,1030.0,10716.0,96.0,5521.0,205.0,39.0,233.0,10.0,3.0,110.0,34.0,92.0,3781.0,176.0,184.0,0.0,1291.0,33.0,254.0,86.0,9.0,388.0
2020-09-01,2099104.0,2064769.0,869137.0,8741.0,140943.0,779410.0,47333.0,55563.0,924.0,2379.0,19564.0,76283.0,16618.0,343.0,89.0,2148.0,281.0,2227.0,4175.0,827.0,100.0,4993.0,888553.0,29213.0,809.0,24298.0,9044.0,82396.0,8765.0,12495.0,995.0,278.0,10437.0,231224.0,5557.0,3157.0,400.0,8421.0,3089.0,47903.0,1166.0,30290.0,1207.0,50.0,69523.0,119.0,267698.0,6216.0,1712.0,4445.0,1139.0,13154.0,97.0,6466.0,229.0,45.0,314.0,17.0,3.0,127.0,38.0,106.0,3788.0,248.0,230.0,283.0,1304.0,37.0,299.0,101.0,26.0,453.0
2020-10-01,2399039.0,2127599.0,968577.0,9848.0,160819.0,899316.0,49083.0,61887.0,1138.0,2771.0,20072.0,77427.0,17774.0,382.0,89.0,2226.0,334.0,2379.0,4569.0,874.0,100.0,5142.0,1016492.0,31367.0,809.0,32244.0,9884.0,99264.0,9287.0,15156.0,1154.0,278.0,12504.0,260450.0,5982.0,3426.0,513.0,8906.0,3548.0,55814.0,1251.0,32648.0,1319.0,68.0,82734.0,150.0,301784.0,7314.0,2053.0,4597.0,1203.0,16075.0,97.0,7806.0,229.0,50.0,381.0,17.0,4.0,129.0,38.0,107.0,3792.0,321.0,253.0,340.0,1305.0,40.0,299.0,101.0,36.0,453.0
2020-11-01,2739337.0,2188802.0,1066724.0,11166.0,182095.0,1042482.0,51117.0,68754.0,1403.0,3275.0,21233.0,80208.0,18697.0,391.0,90.0,2293.0,358.0,2515.0,4836.0,890.0,100.0,5283.0,1169567.0,35389.0,809.0,39504.0,11147.0,118952.0,11601.0,17888.0,1237.0,278.0,14718.0,306660.0,6456.0,3698.0,593.0,9511.0,4075.0,62817.0,1394.0,36848.0,1416.0,71.0,90303.0,150.0,343836.0,8723.0,2473.0,4836.0,1269.0,16615.0,98.0,9335.0,230.0,51.0,474.0,17.0,4.0,137.0,38.0,107.0,3829.0,413.0,272.0,407.0,1305.0,43.0,299.0,101.0,36.0,453.0
2020-12-01,2965991.0,2269699.0,1181795.0,13105.0,205737.0,1139197.0,53814.0,75487.0,1658.0,3927.0,22443.0,85049.0,19639.0,409.0,91.0,2395.0,379.0,2696.0,5039.0,950.0,100.0,5439.0,1276889.0,37993.0,809.0,47033.0,13095.0,132651.0,13016.0,19789.0,1297.0,284.0,15037.0,310530.0,7033.0,4315.0,659.0,10427.0,4600.0,70840.0,1737.0,44317.0,1632.0,72.0,96719.0,150.0,387669.0,9592.0,2933.0,5063.0,1314.0,18762.0,99.0,10360.0,230.0,51.0,533.0,17.0,4.0,141.0,38.0,107.0,4001.0,487.0,292.0,464.0,1305.0,44.0,299.0,101.0,36.0,453.0
2021-01-01,167796.0,757874.0,111542.0,80.0,16863.0,50357.0,11863.0,6082.0,8.0,439.0,3690.0,14762.0,2175.0,61.0,38.0,319.0,55.0,275.0,581.0,63.0,32.0,553.0,70264.0,1939.0,75.0,1380.0,1740.0,1629.0,1958.0,320.0,39.0,57.0,1040.0,15901.0,838.0,763.0,8.0,980.0,413.0,4778.0,244.0,4560.0,136.0,18.0,2419.0,4.0,22682.0,1615.0,353.0,849.0,342.0,625.0,1.0,1252.0,56.0,3.0,33.0,2.0,0.0,43.0,7.0,8.0,665.0,28.0,35.0,13.0,436.0,12.0,53.0,39.0,1.0,64.0
